site,WaterSource,Latitude,Longitude
TGW1,Borehole,10.708653,0.81529
TGW2,Borehole,10.70877,0.80895
TGW3,Borehole,10.6741,0.8132
TGW4,Borehole,10.68591,0.80667
TGW5,Borehole,10.6955,0.80577
TGW6,Borehole,10.70966,0.80603
TGW7,Borehole,10.70856,0.79862
TGW8,Borehole,10.71062,0.78766
TGW9,Borehole,10.69303,0.76163
TGW10,Borehole,10.70677,0.77264
TGW11,Borehole,10.71173,0.78293
TGW12,Borehole,10.71764,0.76237
TGW13,Borehole,10.7225,0.72023
TGW14,Borehole,10.67757,0.70222
TGW15,Borehole,10.61943,0.66504
TGW16,Borehole,10.68907,0.67801
TGW17,Borehole,10.72002,0.71483
TGW18,Borehole,10.72554,0.70369
TGW19,Borehole,10.72153,0.67544
TGW20,Borehole,10.71885,0.6541
TGW21,Borehole,10.70899,0.64385
TGW22,Borehole,10.73763,0.64002
TGW23,Borehole,10.7442,0.6382
TGW24,Borehole,10.76609,0.63617
TGW25,Borehole,10.71095,0.79728
TGW26,Borehole,10.72853,0.79747
TGW27,Borehole,10.7443,0.79388
TGW28,Borehole,10.74245,0.76311
TGW29,Borehole,10.75361,0.77193
TGW30,Borehole,10.76731,0.76131
TGW31,Borehole,10.76296,0.75342
TGW32,Borehole,10.74957,0.7346
TGW33,Borehole,10.73347,0.7202
TGW34,Borehole,10.74483,0.71043
TGW35,Borehole,10.76349,0.6962
TGW36,Borehole,10.80362,0.69529
TGW37,Borehole,10.82173,0.6884
TGW38,Borehole,10.83982,0.67855
TGW39,Borehole,10.80798,0.74202
TGW40,Borehole,10.79285,0.73634
TGW41,Borehole,10.78502,0.74302
TGW42,Borehole,10.79933,0.71456
TGW43,Borehole,10.8019,0.7157
TGW44,Borehole,10.79993,0.70817
TGW45,Borehole,10.7928,0.68454
TGW46,Borehole,10.79313,0.66687
TGW47,Borehole,10.78935,0.62921
TGW48,Borehole,10.80968,0.6308
TGW49,Borehole,10.82472,0.71499
TGW50,Borehole,10.79744,0.76684
TGW51,Borehole,10.79287,0.78317
TGW52,Borehole,10.77301,0.80174
THDW1,Handug well,10.68626,0.80687
THDW2,Handug well,10.70629,0.77303
THDW3,Handug well,10.72304,0.72205
THDW4a,Handug well,10.72381,0.69945
THDW4b,Handug well,10.72356,0.69932
THDW5,Handug well,10.71027,0.6427
THDW6,Handug well,10.7412,0.76181
THDW7,Handug well,10.74333,0.72808
THDW8,Handug well,10.7825,0.69367
THDW9,Handug well,10.79384,0.73862
THDW10,Handug well,10.8021,0.71523
THDW11,Handug well,10.80249,0.61834
TSW1,Surface water,10.71298,0.78636
TSW2,Surface water,10.71953,0.65501
TSW3,Surface water,10.74071,0.79271
TSW4,Surface water,10.76526,0.75513
TSW5,Surface water,10.79345,0.66932
TSW6,Surface water,10.77236,0.80339
