Variable,PC1,PC2,PC3,PC4,PC5,PC6
As,0.00,0.00,0.00,0.00,0.00,0.00
Cd,0.00,0.00,0.00,0.00,0.00,0.00
Co,0.00,0.00,0.00,0.00,0.00,0.00
Cr,0.00,1.00,0.00,0.00,0.00,0.00
Cu,0.00,0.00,0.00,0.00,0.00,0.00
Fe,0.00,0.00,0.00,0.00,0.00,0.00
Hg,0.00,0.00,0.00,0.00,0.00,0.00
Mn,0.00,0.00,0.00,0.00,0.00,0.00
Ni,0.00,0.00,0.00,0.00,-1.00,0.00
Pb,0.00,0.00,0.00,1.00,0.00,0.00
Zn,0.00,0.00,0.00,0.00,0.00,1.00
EC,1.00,0.00,0.00,0.00,0.00,0.00
TDS,0.00,0.00,0.00,0.00,0.00,0.00
pH,0.00,0.00,1.00,0.00,0.00,0.00
Eh,0.00,0.00,0.00,0.00,0.00,0.00
Eigenvalue,3.06,1.80,1.58,1.46,1.25,1.20
Cumulative %Variance,20.1,32.0,42.4,52.0,60.2,68.0
