Site,HPI,PERI,HPI_risk_level,PERI_risk_level,HPI_CI_lower,HPI_CI_upper,PERI_CI_lower,PERI_CI_upper
TGW1,0.33579287856439005,8.56600881921902,Low,Low,0.13291409950756916,0.744591683713882,1.416849596475508,20.885445415885126
TGW2,0.2070242011276507,3.960976102811006,Low,Low,0.12756533302511716,0.7473676556902892,1.409745054689924,20.779819161322695
TGW3,0.38720236525265,9.650856958002523,Low,Low,0.13354727277664674,0.7313547760249868,1.4131430740296875,19.875648716819533
TGW4,0.1379787322528761,1.4515237460983033,Low,Low,0.12836001441374342,0.7314546621871002,1.3923641154045554,21.123731421978274
TGW5,0.6776407090767671,18.148364277763513,Low,Low,0.12744185633642086,0.7195389364152471,1.3998727262501787,20.413531866144076
TGW6,0.2684160766235304,6.540311522054611,Low,Low,0.13176390812189026,0.722191222052733,1.4396536863498648,20.611525604507996
TGW7,0.5574028085382798,15.129619669976854,Low,Low,0.12984624977467288,0.7361710832189066,1.43956324232777,20.24240572623029
TGW8,0.24424803942851647,5.654527811798887,Low,Low,0.13188770210342424,0.7441040264535845,1.4166291182817707,20.593367786206617
TGW9,0.27786446809890625,6.224047394651279,Low,Low,0.13169369053419053,0.7283771322785876,1.4199166376831094,20.165842151571447
TGW10,0.36989896953048024,9.094204116365884,Low,Low,0.13252468860247762,0.7404710830259105,1.4212848717817232,20.883241920241527
TGW11,0.5063191595117225,13.505090886684084,Low,Low,0.1281834919142348,0.7339201950590455,1.408602500956721,20.58391154931439
TGW12,0.15630438836509558,1.5018887617708887,Low,Low,0.12421553525886225,0.7408372911879332,1.4043799322166786,20.74592339827762
TGW13,0.3728326501299645,9.88207800085454,Low,Low,0.12602324499135475,0.7499532824321284,1.4271185183111996,20.647968248057
TGW14,0.5404938037811483,14.156164386185472,Low,Low,0.1327433559572865,0.7375970014042375,1.4211989605377067,20.584617120032032
TGW15,0.7047022325984686,19.649139259362613,Low,Low,0.13554743843853234,0.7564974145991298,1.427902275966259,21.14143276324921
TGW16,0.43642061959079276,11.93959755620681,Low,Low,0.1282405499077971,0.7174697309051996,1.4165642981662805,19.858910722213032
TGW17,0.22495679787949907,4.200437572917696,Low,Low,0.13172114097394869,0.7283779862846733,1.3918755707169423,19.916866288370795
TGW18,0.2492212768627789,5.680897299091739,Low,Low,0.12525987480060197,0.7269274061744012,1.4239627641565429,20.216307153664403
TGW19,0.6688107748455213,16.966827843670746,Low,Low,0.13110016751238537,0.7566128620556767,1.4109953550499863,21.044407661755912
TGW20,0.5963952336323258,15.928343533075173,Low,Low,0.13321295884769452,0.7340696690294578,1.4191836599241627,20.652766611584994
TGW21,0.18507171742543527,3.3407649358852898,Low,Low,0.13268609660807085,0.7371672590116943,1.4192875808141103,20.854711825836514
TGW22,0.3499078468101791,8.757090396536489,Low,Low,0.1284215129432373,0.7533807186360602,1.3953221759781511,20.647708975998352
TGW23,0.6813075390991488,19.13753446413493,Low,Low,0.1336698207173318,0.7184463096778525,1.4181423194948626,20.305552449633698
TGW24,0.25557192569723763,6.113105254147539,Low,Low,0.13203785446149086,0.7423193169664423,1.4020610981092765,20.858560342759063
TGW25,0.18170919584006479,3.0658408971132136,Low,Low,0.1267657786391347,0.7452939012312256,1.4015024617717111,20.640031181425925
TGW26,0.6823710947237754,19.39294339825384,Low,Low,0.12322290479171177,0.7304338039710884,1.4002156156984988,20.484475126898573
TGW27,0.6616907120733725,16.560455964139635,Low,Low,0.13137386087959005,0.72458931343771,1.397297417127232,20.06692998205911
TGW28,0.7336096896835176,20.231101818303205,Low,Low,0.1298401075876001,0.7287875551974055,1.3987976253186738,20.546259343779507
TGW29,0.2834250876930101,5.703180038568904,Low,Low,0.126384578955439,0.7228548933909006,1.4062769236776744,20.067382528781
TGW30,0.3886805003549657,9.686860847465443,Low,Low,0.1211451419327709,0.7483265816649091,1.4206621146861313,20.756308457639808
TGW31,0.3496921943988311,8.858482543229055,Low,Low,0.12044763067946801,0.719483511583101,1.4024486386764732,19.85964821008311
TGW32,0.20818832770841159,4.452234442777769,Low,Low,0.12298781851088024,0.7331598055653908,1.4013040535977266,20.27134160175037
TGW33,0.5979618950600103,16.32320156862968,Low,Low,0.12987332085236417,0.737079058368347,1.4348005335353502,20.455617694962026
TGW34,0.8056279947598265,22.867108839814676,Low,Low,0.12597048052787668,0.7267848156896602,1.42076270900369,20.335907586794253
TGW35,0.1773705165130053,2.930044378512301,Low,Low,0.1274746636004703,0.7267183579272081,1.3907097770023569,20.26409568798764
TGW36,0.30641816349588047,6.893757727596335,Low,Low,0.1343243735849497,0.7237549812659236,1.4091406563653293,20.264972140415132
TGW37,0.3499397784529146,9.014225531815708,Low,Low,0.13136655722034535,0.746433034283935,1.4184575740209115,21.004465109213196
TGW38,0.5173966490110137,12.997659558105847,Low,Low,0.1271438845559818,0.7474137646395778,1.3896020110819036,20.763784911539496
TGW39,0.45884523061464644,11.245987642950114,Low,Low,0.12584073978590837,0.7356124619260258,1.401571685562901,20.736581462379096
TGW40,0.22940991506772987,4.958353050082672,Low,Low,0.12655133607317806,0.7387957275231574,1.4043206524327285,20.55397496577242
TGW41,0.5487178863998655,14.159374376459482,Low,Low,0.1330544987490459,0.7373959120946164,1.4082402097001427,20.663298457631413
TGW42,0.13842676098211643,1.4530448277596473,Low,Low,0.12892914840466005,0.7452895749537171,1.4134210158736495,20.666845200371537
TGW43,0.4045065934913538,10.51041167329578,Low,Low,0.1284151135536272,0.7244325907750324,1.4115560218872556,20.110047671909385
TGW44,0.40232315030461174,10.25098799840522,Low,Low,0.1270357952054522,0.7549763475190872,1.4164758880104675,21.04268065680379
TGW45,0.6233416663651857,16.94785822756876,Low,Low,0.13568236359004782,0.7314732602615046,1.4078486448746672,20.318394763532435
TGW46,0.19320486761143743,3.0345177111655564,Low,Low,0.1299772149124997,0.7458220537509703,1.4320422828132917,20.393432011300916
TGW47,0.20150738218568356,4.038668776940238,Low,Low,0.12455636123789517,0.7438684710946513,1.4267570777429384,20.925046434530724
TGW48,0.2332140624941111,5.338753593362997,Low,Low,0.12830727176309145,0.7312793890415141,1.431647913160157,20.5704416172958
TGW49,0.4284923744032544,10.709448079786409,Low,Low,0.12860110720616444,0.7332523909361788,1.4111096809191825,20.457408736727594
TGW50,0.3128109135395918,7.93632868319022,Low,Low,0.12759808696099256,0.723251319950838,1.397131922015597,20.309220801570053
TGW51,0.4533774926536089,11.730060622010782,Low,Low,0.1290812814746835,0.7211025618714945,1.4233737493845087,19.97521823205166
TGW52,0.24216525657690038,5.768769065296831,Low,Low,0.12441357456430994,0.7352862499102166,1.3954964934021379,20.576304005444012
THDW1,0.26244717401078105,5.916920698634901,Low,Low,0.13260827420102403,0.7333786179431186,1.4225918708672785,20.719616525193857
THDW2,0.39279670766585306,10.045235976077894,Low,Low,0.1318661412389324,0.7289617541429427,1.401270406399048,20.38261436537153
THDW3,0.2209180008736931,4.649804627808906,Low,Low,0.12690440121619573,0.7327044859971,1.4035007203476606,20.49625152567451
THDW4a,0.2874430666082538,7.413235053685552,Low,Low,0.13040613626261371,0.7386570883991567,1.4322254826804395,20.493506605691124
THDW4b,0.3657300817862425,9.600748743593996,Low,Low,0.12495893568527847,0.7320322815885859,1.4258907189712255,20.537735655796254
THDW5,0.27630734057910816,6.587651318945827,Low,Low,0.1306201558673247,0.7313156423248383,1.4058343857972488,20.30408116886181
THDW6,0.5853999171054497,16.455637423049353,Low,Low,0.13269880037037246,0.7395528494091143,1.4302338408306923,20.11570578500324
THDW7,0.4433151294154447,11.863512509603106,Low,Low,0.13039859136374896,0.7437285497825751,1.4229487586117466,20.675495317225
THDW8,0.28954016739959093,7.396542749063221,Low,Low,0.12584831988515036,0.7262328635338025,1.4072992821376082,20.43675127421637
THDW9,0.3901272401455626,10.21431490037469,Low,Low,0.13183061157163217,0.7357412995679171,1.395554345926481,20.52729310730015
THDW10,0.2679159836840638,6.306556905966286,Low,Low,0.12718570832831982,0.7491594107039219,1.4106605749547625,20.945884306147523
THDW11,0.3637306466577702,8.771108855606576,Low,Low,0.12521079371847488,0.7429904834621404,1.3981523062692025,20.719230411500508
TSW1,0.1380486827210217,1.425796621568784,Low,Low,0.12174753861382025,0.724354027021101,1.3993609202978163,20.204373875114417
TSW2,0.18664259580941503,3.04847464190833,Low,Low,0.1324571406227326,0.7371929407374642,1.4161173430072926,20.828799920141584
TSW3,0.13726076804474624,1.4294278999345524,Low,Low,0.13539782002375425,0.7400553063275638,1.4099473825739488,20.634044140262763
TSW4,0.2771179939639801,6.688150304445987,Low,Low,0.12394206691435768,0.714773295417484,1.4124848662458034,20.1466604586931
TSW5,0.14060582444772182,1.4290373967111982,Low,Low,0.12584042317728866,0.7350183658219095,1.4079120127473193,20.594417172522068
TSW6,0.23040593812166615,4.937334710773978,Low,Low,0.12900384722727454,0.741899472249072,1.4105896953503274,20.31369859189333
