parameter,S1,S1_conf,ST,ST_conf
BW_Adults,0.022232363583336415,0.018285904813775285,0.0560472747479087,0.013800405523100964
IR_Adults,0.08356879802231894,0.030619818373397018,0.14972710036979633,0.028695750633495262
EF_Adults,-0.014208136950144726,0.013591364137707743,0.0331432311677277,0.011381874022825627
ED_Adults,0.04077323535923166,0.027332271851055256,0.10002786962475672,0.022684196081936687
AT_nc_Adults,0.0,0.0,0.0,0.0
AT_ca_Adults,0.07676976492454866,0.037655420635144876,0.12241064612007371,0.02319212917094409
SA_Adults,4.398245616981665e-05,0.0001492380284334072,1.7950107384887293e-06,4.302097237787684e-07
AF_Adults,-0.0001405705552028726,0.0002914014711060609,1.0653297880816528e-05,4.981058703123118e-06
ET_Adults,-1.1243491880167067e-05,0.0002721239025519231,1.017317049877831e-05,4.330124460901404e-06
BW_Children,-0.001241283582919279,0.00817497028310539,0.012088803168156834,0.0030060698319418033
IR_Children,0.015193108398726533,0.014298398736960233,0.034954427474044765,0.007948632371482831
EF_Children,0.005020087386643592,0.0072358078197737735,0.007008716823749113,0.0020830738437147517
ED_Children,0.006080473861903552,0.01126826064844706,0.021350097444571493,0.0045435188388908065
AT_nc_Children,0.0,0.0,0.0,0.0
AT_ca_Children,0.01238674897328545,0.017732322166112167,0.030455822310672235,0.008661589937394706
SA_Children,-9.916310390594025e-06,0.00013548027907202086,2.3421470676913925e-06,7.022167158869621e-07
AF_Children,-4.621731557695109e-05,0.00016668623755847304,5.065396836501407e-06,2.975550637607379e-06
ET_Children,9.8823174041877e-05,0.0002822069295876143,8.365283767099212e-06,3.194721594755527e-06
BW_Teens,0.0012576066890138177,0.008910324371923172,0.011626832589311164,0.0032250617205913834
IR_Teens,0.012534962261318762,0.013701540361339259,0.028259969076758696,0.00538122359904058
EF_Teens,0.002135482126666763,0.00781916211583926,0.006302846581656893,0.0016446466954911346
ED_Teens,0.013735368221975209,0.01057577004479306,0.020625178106941353,0.005352428593992921
AT_nc_Teens,0.0,0.0,0.0,0.0
AT_ca_Teens,0.007492592619536156,0.011811904308982359,0.02780326675948795,0.008115868017234384
SA_Teens,1.3685062477261038e-05,0.00011232403923860353,1.1233436526776252e-06,3.5296293661947364e-07
AF_Teens,1.6899533556998488e-05,0.0001301787445322226,2.9024818359248893e-06,1.1196811722060352e-06
ET_Teens,0.00018756214801672282,0.00022669131277356999,4.535112068274418e-06,1.1842100050589181e-06
BW_Pregnant,0.00021873451867768752,0.0005872773984205266,6.379429201882228e-05,1.6019972948777602e-05
IR_Pregnant,-0.00017209523991220887,0.0009870727594213575,0.0001673040356368377,3.743147439058141e-05
EF_Pregnant,0.0003360897971072075,0.000590300413095309,3.176719346806816e-05,7.4049143152179225e-06
ED_Pregnant,-1.795002885376938e-05,0.0006578742850656838,8.684438014955663e-05,1.9010791260677666e-05
AT_nc_Pregnant,0.0,0.0,0.0,0.0
AT_ca_Pregnant,2.7562427008915963e-05,0.0009605140098379749,0.00013736431838832401,3.365280660827756e-05
SA_Pregnant,-1.5466754227930235e-06,4.765273051455561e-06,4.27670366628684e-09,1.2901019448885058e-09
AF_Pregnant,9.413130837841332e-07,7.134902567339619e-06,1.0798786995287403e-08,3.543249947671825e-09
ET_Pregnant,3.080399308521571e-06,1.1710083540667871e-05,2.5779899467811983e-08,1.1576620187877e-08
C_As,0.4496662516270693,0.05850095392372832,0.5470774966923164,0.07713698352667024
C_Cd,0.0,0.0,0.0,0.0
C_Co,0.0,0.0,0.0,0.0
C_Cu,0.0,0.0,0.0,0.0
C_Fe,0.0,0.0,0.0,0.0
C_Hg,0.0,0.0,0.0,0.0
C_Mn,0.0,0.0,0.0,0.0
C_Ni,0.0,0.0,0.0,0.0
C_Pb,0.0,0.0,0.0,0.0
C_Zn,0.0,0.0,0.0,0.0
Kp_As,0.0007940621028315982,0.0008928412461613948,0.00010370744908756209,1.899720938602339e-05
Kp_Cd,0.0,0.0,0.0,0.0
Kp_Co,0.0,0.0,0.0,0.0
Kp_Cu,0.0,0.0,0.0,0.0
Kp_Fe,0.0,0.0,0.0,0.0
Kp_Hg,0.0,0.0,0.0,0.0
Kp_Mn,0.0,0.0,0.0,0.0
Kp_Ni,0.0,0.0,0.0,0.0
Kp_Pb,0.0,0.0,0.0,0.0
Kp_Zn,0.0,0.0,0.0,0.0
